Series,Model,Cores,Cores,Cores,Clock rate (GHz),Clock rate (GHz),Clock rate (GHz),Clock rate (GHz),Clock rate (GHz),Integrated graphics,Integrated graphics,Cache,Cache,TDP (W),TDP (W),Price ($),Socket,Launch Year
0,12900K,8,8,24,3.2,2.4,5.1,3.9,5.2,UHD 770,32,14 MB,30 MB,125,241,$ 589,LGA 1700,Q4 2021
1,12900KF,8,8,24,3.2,2.4,5.1,3.9,5.2,-,-,14 MB,30 MB,125,241,$ 569,LGA 1700,Q4 2021
2,12900KS,8,8,24,3.4,2.5,5.2,4.0,5.5,UHD 770,32,14 MB,30 MB,150,241,$ 739,LGA 1700,Q1 2022
3,12900,8,8,24,2.4,1.8,5.0,3.8,5.0,UHD 770,32,14 MB,30 MB,65,202,$ 489,LGA 1700,Q1 2022
4,12900F,8,8,24,2.4,1.8,5.0,3.8,5.0,-,-,14 MB,30 MB,65,202,$ 464,LGA 1700,Q1 2022
5,12900T,8,8,24,1.4,1.0,4.8,3.6,4.9,UHD 770,32,14 MB,30 MB,35,106,$ 489,LGA 1700,Q1 2022
6,12700K,8,4,20,3.6,2.7,4.9,3.8,5.0,UHD 770,32,12 MB,25 MB,125,190,$ 409,LGA 1700,Q4 2021
7,12700KF,8,4,20,3.6,2.7,4.9,3.8,5.0,-,-,12 MB,25 MB,125,190,$ 384,LGA 1700,Q4 2021
8,12700,8,4,20,2.1,1.6,4.8,3.6,4.9,UHD 770,32,12 MB,25 MB,65,180,$ 339,LGA 1700,Q1 2022
9,12700F,8,4,20,2.1,1.6,4.8,3.6,4.9,-,-,12 MB,25 MB,65,180,$ 314,LGA 1700,Q1 2022
10,12700T,8,4,20,1.4,1.0,4.6,3.4,4.7,UHD 770,32,12 MB,25 MB,35,95,$ 339,LGA 1700,Q1 2022
11,12600K,6,4,16,3.7,2.8,4.9,3.6,4.9,UHD 770,32,9.5 MB,20 MB,125,150,$ 289,LGA 1700,Q4 2021
12,12600KF,6,4,16,3.7,2.8,4.9,3.6,4.9,-,-,9.5 MB,20 MB,125,150,$ 264,LGA 1700,Q4 2021
13,12600,6,0,12,3.3,-,4.8,-,4.8,UHD 770,32,7.5 MB,18 MB,65,117,$ 223,LGA 1700,Q1 2022
14,12600T,6,0,12,2.1,-,4.6,-,4.6,UHD 770,32,7.5 MB,18 MB,35,74,$ 223,LGA 1700,Q1 2022
15,12500,6,0,12,3.0,-,4.6,-,4.6,UHD 770,32,7.5 MB,18 MB,65,117,$ 202,LGA 1700,Q1 2022
16,12500T,6,0,12,2.0,-,4.4,-,4.4,UHD 770,32,7.5 MB,18 MB,35,74,$ 202,LGA 1700,Q1 2022
17,12400,6,0,12,2.5,-,4.4,-,4.4,UHD 730,24,7.5 MB,18 MB,65,117,$ 192,LGA 1700,Q1 2022
18,12400F,6,0,12,2.5,-,4.4,-,4.4,-,-,7.5 MB,18 MB,65,117,$ 167,LGA 1700,Q1 2022
