SNo,Series,Price ($),Cores,Threads,Clock rate (GHz),Clock rate (GHz),Cache (MB),Cache (MB),Cache,IGP,IGP,IGP,TDP (W),code­name,Socket,Release
0,i9-10910,OEM (Apple),10,20,3.6,5.0,—,—,20,UHD 630,350,1200,125,Comet Lake,LGA 1200,Q3 2020
1,i9-10900K,$488,10,20,3.7,5.3,—,—,20,UHD 630,350,1200,125,Comet Lake,LGA 1200,Q2 2020
2,i9-10900KF,$463,10,20,3.7,5.3,—,—,20,—,—,—,125,Comet Lake,LGA 1200,Q2 2020
3,i9-10900,$439,10,20,2.8,5.2,—,—,20,UHD 630,350,1200,65,Comet Lake,LGA 1200,Q2 2020
4,i9-10900E,$440,10,20,2.8,4.7,—,—,20,UHD 630,350,1200,65,Comet Lake,LGA 1200,Q2 2020
5,i9-10900F,$422,10,20,2.8,5.2,—,—,20,—,—,—,65,Comet Lake,LGA 1200,Q2 2020
6,i9-10900T,$439,10,20,1.9,4.6,—,—,20,UHD 630,350,1200,35,Comet Lake,LGA 1200,Q2 2020
7,i9-10850K,$453,10,20,3.6,5.2,—,—,20,UHD 630,350,1200,125,Comet Lake,LGA 1200,Q2 2020
8,i7-10700K,$374,8,16,3.8,5.1,—,—,16,UHD 630,350,1200,125,Comet Lake,LGA 1200,Q2 2020
9,i7-10700KF,$349,8,16,3.8,5.1,—,—,16,—,—,—,125,Comet Lake,LGA 1200,Q2 2020
10,i7-10700,$323,8,16,2.9,4.8,—,—,16,UHD 630,350,1200,65,Comet Lake,LGA 1200,Q2 2020
11,i7-10700E,$330,8,16,2.9,4.5,—,—,16,UHD 630,350,1150,65,Comet Lake,LGA 1200,Q2 2020
12,i7-10700F,$298,8,16,2.9,4.8,—,—,16,—,—,—,65,Comet Lake,LGA 1200,Q2 2020
13,i7-10700T,$323,8,16,2.0,4.5,—,—,16,UHD 630,350,1200,35,Comet Lake,LGA 1200,Q2 2020
14,i7-10700TE,$330,8,16,2.0,4.4,—,—,16,UHD 630,350,1150,35,Comet Lake,LGA 1200,Q2 2020
15,i5-10600K,$262,6,12,4.1,4.8,—,—,12,UHD 630,350,1200,125,Comet Lake,LGA 1200,Q2 2020
16,i5-10600KF,$237,6,12,4.1,4.8,—,—,12,—,—,—,125,Comet Lake,LGA 1200,Q2 2020
17,i5-10600,$213,6,12,3.3,4.8,—,—,12,UHD 630,350,1200,65,Comet Lake,LGA 1200,Q2 2020
18,i5-10600T,$213,6,12,2.4,4.0,—,—,12,UHD 630,350,1200,35,Comet Lake,LGA 1200,Q2 2020
19,i5-10505,$192,6,12,3.2,4.6,—,—,12,UHD 630,350,1200,65,Comet Lake,LGA 1200,Q1 2021
20,i5-10500,$192,6,12,3.1,4.5,—,—,12,UHD 630,350,1150,65,Comet Lake,LGA 1200,Q2 2020
21,i5-10500E,$195,6,12,3.1,4.2,—,—,12,UHD 630,350,1150,65,Comet Lake,LGA 1200,Q2 2020
22,i5-10500T,$192,6,12,2.3,3.8,—,—,12,UHD 630,350,1150,35,Comet Lake,LGA 1200,Q2 2020
23,i5-10500TE,$195,6,12,2.3,3.7,—,—,12,UHD 630,350,1150,35,Comet Lake,LGA 1200,Q2 2020
24,i5-10400,$182,6,12,2.9,4.3,—,—,12,UHD 630,360,1100,65,Comet Lake,LGA 1200,Q2 2020
25,i5-10400F,$155,6,12,2.9,4.3,—,—,12,—,—,—,65,Comet Lake,LGA 1200,Q2 2020
26,i5-10400T,$182,6,12,2.3,3.6,—,—,12,UHD 630,350,1200,35,Comet Lake,LGA 1200,Q2 2020
27,i3-10320,$154,4,8,3.8,4.6,—,—,8,UHD 630,350,1150,65,Comet Lake,LGA 1200,Q2 2020
28,i3-10300,$143,4,8,3.7,4.4,—,—,8,UHD 630,350,1150,65,Comet Lake,LGA 1200,Q2 2020
29,i3-10300T,$143,4,8,3.0,3.9,—,—,8,UHD 630,350,1100,35,Comet Lake,LGA 1200,Q2 2020
30,i3-10100,$122,4,8,3.6,4.3,—,—,6,UHD 630,350,1100,65,Comet Lake,LGA 1200,Q2 2020
31,i3-10100E,$125,4,8,3.2,3.8,—,—,6,UHD 630,350,1100,65,Comet Lake,LGA 1200,Q2 2020
32,i3-10100F,$79,4,8,3.6,4.3,—,—,6,—,—,—,65,Comet Lake,LGA 1200,Q2 2020
33,i3-10100T,$122,4,8,3.0,3.8,—,—,6,UHD 630,350,1100,35,Comet Lake,LGA 1200,Q2 2020
34,i3-10100TE,$125,4,8,2.3,3.6,—,—,6,UHD 630,350,1100,35,Comet Lake,LGA 1200,Q2 2020
0,i9-7980XE,$1999,18,36,2.6,4.20,—,—,24.75,—,—,—,165,Skylake,LGA 2066,Q3 2017[1]
1,i9-7960X,$1699,16,32,2.8,4.20,—,—,22.0,—,—,—,165,Skylake,LGA 2066,Q3 2017[1]
